Recode,Remove,Citation,DOI,ID_DOI_byFlowEntry,ID_DOI_by_Flow,2.1.Flow.Type,2.2.Subtype.NEW,2.2.Subtype.OLD,Flag_SubtypeCode,Flag_QualityCheck,Flag_FlowCode,Flag_SubflowSpit,Flag_FlowSplit ,Flag_MissingData,Exclude_Or_Recode_DOI
,,"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",,,Physical,snow melt runoff,snow and ice,Yes - check indiivudal entry,,,,,,
yes,,"Sivakumar, B.; 2011; Hydrological Sciences Journal","10.1080/02626667.2011.580747	",123,128,Physical,freshwater quantities in transboundary rivers/watersheds/groundwater aquifers,freshwater quantities in transboundary rivers/watersheds/groundwater aquifers,Yes,,,,,,
,,"Sivakumar, B.; 2011; Hydrological Sciences Journal","10.1080/02626667.2011.580747	",193,204,Sociocultural,governance,transboundary water governance (often international),Yes,,,,,,
,,"Sudlow et al., 2023, Environmental Reviews","10.1139/er-2022-0114	",67,68,Physical,stream flow,stream flow,,,,,,,
,yes,"Sudlow et al., 2023, Environmental Reviews","10.1139/er-2022-0114	",67,69,Biotic,stream flow,stream flow,Yes,Yes,Yes - remove biotic?,,,,
,yes,"Vaddey, 2010, Watershed Management",https://doi.org/10.1061/41143(394)9,,,Physical,River Flow,River Flow,,,,,,,
,,"Weber, 1997, Environmental Reviews","http://dx.doi.org/10.1139/a97-008	",29,29,Physical,wildfire,Fire,,,,,,,
,,"Weber, 1997, Environmental Reviews","http://dx.doi.org/10.1139/a97-008	",181,192,Biotic,Range shift,Range shift,,,,,,,
,,"Wu et al., 2022, Reviews of the Environmental Contamination and Toxicology",https://doi.org/10.1007/s44169-022-00016-8,108,112,Physical,pollution flow,Mercury pollution,,,,,,,
,,"Zak et al., 2020, Earth-Science Reviews",https://doi.org/10.1016/j.earscirev.2020.103446,107,111,Physical,pollution flow,sulfate pollution,,,,,,,
,,"de la Fontaine,  2018, Ecology",10.1002/ecy.2382,37,37,Physical,Glacial retreat,Glacial retreat;; range shift,,,Yes,,Yes,,
,,"de la Fontaine,  2018, Ecology",10.1002/ecy.2382,37,38,Biotic,Range shift,Glacial retreat;; range shift,,,Yes,,Yes,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
