Citation,DOI,2.1 Flow Type,2.1.Flow.Type,2.2.Subtype.NEW,2.2.Subtype.OLD,Flag_SubtypeCode,Flag_QualityCheck,Flag_FlowCode,Flag_SubflowSpit,Flag_FlowSplit ,Flag_MissingData
"Mu et al., 2011, Hydrological Processes",https://onlinelibrary.wiley.com/doi/10.1002/hyp.8367,Physical,Physical,snow melt runoff,water flow,,,,,,
"Nielsen, 2015, Global Change Biology",doi: 10.1111/gcb.12789,Physical,Physical,Precipiation,Precipiation,,,,,,
"Noyes, 2009, Environment International",https://www.sciencedirect.com/science/article/pii/S0160412009000543,Physical,Physical,pollution flow,"River flow, pollutants",,,,,,
"Noyes, 2009, Environment International",https://www.sciencedirect.com/science/article/pii/S0160412009000543,Physical,Biotic,pollution flow,transport of toxins through animal migration,,,,,,
"Noyes, 2009, Environment International",https://www.sciencedirect.com/science/article/pii/S0160412009000543,Biotic,Physical,transport of toxins through animal migration,"River flow, pollutants",,,,,,
"Noyes, 2009, Environment International",https://www.sciencedirect.com/science/article/pii/S0160412009000543,Biotic,Biotic,transport of toxins through animal migration,transport of toxins through animal migration,,,,,,
"Ochs, 2024, Science of the Total Environment",https://doi.org/10.1016/j.scitotenv.2024.171490,Physical,Physical,pollution flow,"riverine dishcharge, lake circulation",,,,,,
"Ochs, 2024, Science of the Total Environment",https://doi.org/10.1016/j.scitotenv.2024.171490,Physical,Biotic,pollution flow,"riverine dishcharge, lake circulation",,,,,,
"Pagano, 2014, Water",10.3390/w6102862,Physical,Physical,pollution flow,river flow,,,,,,
"Peacock, 2011, Canadian Journal of Zoology",10.1139/Z11-021,Physical,Physical,sea ice change,sea ice,,,,,,
"Perry, 2007, Climate Change 2007",NA,Physical,Physical,Surface water quantity,Freshwater level change,,,,,,
"Perry, 2007, Climate Change 2007",NA,Physical,Biotic,Surface water quantity,range-shift,,,,,,
"Perry, 2007, Climate Change 2007",NA,Physical,Trade (transport of goods and services),Surface water quantity,Energy Supply,,,,,,
"Perry, 2007, Climate Change 2007",NA,Biotic,Physical,range-shift,Freshwater level change,,,,,,
"Perry, 2007, Climate Change 2007",NA,Biotic,Biotic,range-shift,range-shift,,,,,,
"Perry, 2007, Climate Change 2007",NA,Biotic,Trade (transport of goods and services),range-shift,Energy Supply,,,,,,
"Perry, 2007, Climate Change 2007",NA,Trade (transport of goods and services),Physical,Energy Supply,Freshwater level change,,,,,,
"Perry, 2007, Climate Change 2007",NA,Trade (transport of goods and services),Biotic,Energy Supply,range-shift,,,,,,
"Perry, 2007, Climate Change 2007",NA,Trade (transport of goods and services),Trade (transport of goods and services),Energy Supply,Energy Supply,,,,,,
"Peters-Lidard et al, 2021, Climatic Change",https://doi.org/10.1007/s10584-021-03057-5,Physical,Physical,river flow - unclear if quantity or quality,river flow,,,,,,
"Pitman, 2020, BioScience",doi:10.1093/biosci/biaa015,Physical,Physical,Glacial melt and discharge,Glacial runoff,,,,,,
"Pitman, 2020, BioScience",doi:10.1093/biosci/biaa015,Physical,Biotic,Glacial melt and discharge,range Shifts,,,,,,
"Pitman, 2020, BioScience",doi:10.1093/biosci/biaa015,Biotic,Physical,range shifts,Glacial runoff,,,,,,
"Pitman, 2020, BioScience",doi:10.1093/biosci/biaa015,Biotic,Biotic,range shifts,range Shifts,,,,,,
"Robinne, 2020, Journal of Hydrology",https://doi.org/10.1016/j.jhydrol.2019.124360,Physical,Physical,wildfire,Wildfires,,,,,,
"Sabater, 2023, Biological Reviews",doi: 10.1111/brv.12914,Physical,Physical,Surface water quantity,river flow,,,,,,
